# Per-module line items
module,material,quantity,unit,unit_cost_usd,subtotal_usd,subtotal_pyg
hobbit_house,stainless_mosquito_mesh,1.4000,m2,22.00,30.80,224840
italian_river_house_4pax,stone_walls,22.0000,m3,285.00,6270.00,45771000
italian_river_house_4pax,terracotta_tile_roof,55.0000,m2,42.00,2310.00,16863000
italian_river_house_4pax,lapacho_shutters_doors,14.0000,m2,165.00,2310.00,16863000
italian_river_house_4pax,lapacho_beams_columns,0.6000,m3,1450.00,870.00,6351000
italian_river_house_4pax,stone_foundation_arched,4.5000,m3,310.00,1395.00,10183500
italian_river_house_4pax,glass_glazing,8.0000,m2,240.00,1920.00,14016000
italian_river_house_4pax,fasteners_misc,400.0000,count,0.85,340.00,2482000
italian_stone_small_v1,stone_walls,14.0000,m3,285.00,3990.00,29127000
italian_stone_small_v1,terracotta_tile_roof,30.0000,m2,42.00,1260.00,9198000
italian_stone_small_v1,lapacho_shutters_doors,8.0000,m2,165.00,1320.00,9636000
italian_stone_small_v1,lapacho_beams_porch,0.3000,m3,1450.00,435.00,3175500
italian_stone_small_v1,stone_foundation,3.0000,m3,310.00,930.00,6789000
italian_stone_small_v1,glass_glazing,4.0000,m2,240.00,960.00,7008000
italian_stone_small_v1,fasteners,250.0000,count,0.85,212.50,1551250
italian_stone_small_v2,stone_walls,22.5000,m3,110.00,2475.00,18067500
italian_stone_small_v2,terracotta_tile_roof,99.0000,m2,28.00,2772.00,20235600
italian_stone_small_v2,lapacho_shutters_doors,17.0000,m2,130.00,2210.00,16133000
italian_stone_small_v2,lapacho_beams_porch,0.8500,m3,1200.00,1020.00,7446000
italian_stone_small_v2,stone_foundation,5.6000,m3,140.00,784.00,5723200
italian_stone_small_v2,glass_glazing,12.0000,m2,160.00,1920.00,14016000
italian_stone_small_v2,fasteners,430.0000,count,0.85,365.50,2668150
italian_stone_small_v2,loggia_paving,21.0000,m2,55.00,1155.00,8431500
eco_pool,pool_excavation_combined,31.6000,m3,22.00,695.20,5074960
eco_pool,reinforced_concrete_shell,14.0800,m3,320.00,4505.60,32890880
eco_pool,sandstone_coping_slabs,32.0000,m,95.00,3040.00,22192000
eco_pool,lapacho_deck_planks,64.0000,m2,110.00,7040.00,51392000
eco_pool,lapacho_deck_posts,24.0000,count,18.00,432.00,3153600
eco_pool,pergola_lapacho_bamboo_frame,22.4000,m,26.00,582.40,4251520
eco_pool,pergola_palm_thatch_roof,10.3500,m2,28.00,289.80,2115540
eco_pool,outdoor_shower_assembly,1.0000,count,480.00,480.00,3504000
eco_pool,boulder_seat_stones,3.0000,count,180.00,540.00,3942000
eco_pool,pool_circulation_pump_filter,1.0000,count,1850.00,1850.00,13505000
eco_pool,surround_flora_clumps_saplings,4.0000,count,75.00,300.00,2190000
eco_retreat_modern_oasis,lapacho_dome_struts,65.0000,m,38.00,2470.00,18031000
eco_retreat_modern_oasis,etfe_glass_dome_panels,56.5487,m2,285.00,16116.37,117649503
eco_retreat_modern_oasis,reflection_pool_basin_concrete,48.0000,m2,165.00,7920.00,57816000
eco_retreat_modern_oasis,reflection_pool_water_treatment,4.8000,m3,240.00,1152.00,8409600
eco_retreat_modern_oasis,sandstone_pool_coping,32.0000,m,78.00,2496.00,18220800
eco_retreat_modern_oasis,lapacho_deck_planks,92.0000,m2,145.00,13340.00,97382000
eco_retreat_modern_oasis,lapacho_deck_posts,16.0000,count,55.00,880.00,6424000
eco_retreat_modern_oasis,bamboo_curtain_wall_culms,30.0000,count,48.00,1440.00,10512000
eco_retreat_modern_oasis,yoga_shelter_frame,1.0000,count,1450.00,1450.00,10585000
eco_retreat_modern_oasis,palm_thatch_yoga_roof,16.1572,m2,22.00,355.46,2594853
eco_retreat_modern_oasis,mossy_boulders_lounge,2.0000,count,320.00,640.00,4672000
eco_retreat_modern_oasis,lapacho_bench_lounge,1.0000,count,680.00,680.00,4964000
floating_dining,lapacho_deck_planks,40.0000,m2,62.00,2480.00,18104000
floating_dining,lapacho_deck_posts,8.0000,count,38.00,304.00,2219200
floating_dining,lapacho_communal_slab_table,1.0000,count,2200.00,2200.00,16060000
floating_dining,stool_set_bamboo_lapacho,8.0000,count,95.00,760.00,5548000
floating_dining,lapacho_canopy_posts,4.0000,count,145.00,580.00,4234000
floating_dining,guadua_ring_beam_culms,33.6000,m,11.00,369.60,2698080
floating_dining,sisal_rope_lashings,90.0000,m,3.50,315.00,2299500
floating_dining,bamboo_pendant_lanterns,9.0000,count,130.00,1170.00,8541000
floating_dining,reflective_water_basin_liner,140.0000,m2,18.00,2520.00,18396000
floating_dining,lapacho_catwalk_assembly,1.0000,count,1450.00,1450.00,10585000
floating_dining,low_voltage_lantern_wiring_set,1.0000,count,420.00,420.00,3066000
labrisa_lounge,guadua_columns,12.8000,m,9.00,115.20,840960
labrisa_lounge,guadua_roof_frame,58.0832,m,8.00,464.67,3392058
labrisa_lounge,palm_thatch_roof,73.4400,m2,22.00,1615.68,11794464
labrisa_lounge,guadua_deck_culms,600.0000,m,6.00,3600.00,26280000
labrisa_lounge,lapacho_deck_joists,36.0000,m,24.00,864.00,6307200
labrisa_lounge,sandstone_cascade_weir,0.6400,m3,380.00,243.20,1775360
labrisa_lounge,sandstone_stepping_stones,10.0000,count,65.00,650.00,4745000
labrisa_lounge,sandstone_boulder_seating,14.0000,count,140.00,1960.00,14308000
labrisa_lounge,glass_bowl_lanterns,9.0000,count,110.00,990.00,7227000
labrisa_lounge,lashings_hardware,22.0000,kg,18.00,396.00,2890800

# Per-material rollup
material,total_quantity,unit,total_usd,total_pyg
lapacho_deck_planks,196.0000,m2,22860.00,166878000
palm_thatch,624.5100,m2,20221.42,147616366
lapacho_deck,17.5730,m3,17389.15,126940795
etfe_glass_dome_panels,56.5487,m2,16116.37,117649503
lapacho_timber,8.7450,m3,12867.15,93930195
stone_walls,58.5000,m3,12735.00,92965500
concrete_service_spine,35.0900,m3,10907.80,79626940
container_envelope_finish,3.0000,count,10500.00,76650000
bamboo_culm,1199.5000,m,10337.00,75460100
sandstone_foundation,30.5000,m3,10131.20,73957760
reflection_pool_basin_concrete,48.0000,m2,7920.00,57816000
shipping_container_20ft,2.0000,count,7000.00,51100000
terracotta_tile_roof,184.0000,m2,6342.00,46296600
lapacho_shutters_doors,39.0000,m2,5840.00,42632000
lapacho_joinery,4.3460,m3,5649.80,41243540
glass_glazing,26.9160,m2,5499.84,40148832
reinforced_concrete_shell,14.0800,m3,4505.60,32890880
terracotta_tile,130.0000,m2,3640.00,26572000
guadua_deck_culms,600.0000,m,3600.00,26280000
glass_river_wall,13.5000,m2,3240.00,23652000
sandstone,12.0200,m3,3196.40,23333720
sandstone_coping_slabs,32.0000,m,3040.00,22192000
stone_foundation,13.8200,m3,2876.80,21000640
reflective_water_basin_liner,140.0000,m2,2520.00,18396000
sandstone_pool_coping,32.0000,m,2496.00,18220800
lapacho_dome_struts,65.0000,m,2470.00,18031000
fasteners_lashings,2033.0000,count,2433.50,17764550
clay_plaster,280.0000,m2,2240.00,16352000
lapacho_communal_slab_table,1.0000,count,2200.00,16060000
concrete_service_wall,6.8940,m3,2068.20,15097860
concrete,6.8440,m3,2053.20,14988360
sandstone_boulder_seating,14.0000,count,1960.00,14308000
sliding_door_assembly,1.0000,count,1950.00,14235000
glass_panes,32.0000,m2,1920.00,14016000
plywood_lapacho_gable,39.0000,m2,1872.00,13665600
cob_walls,19.4800,m3,1850.60,13509380
pool_circulation_pump_filter,1.0000,count,1850.00,13505000
rebar_steel,1219.8000,kg,1768.71,12911583
sod_roof_grass,89.8000,m2,1616.40,11799720
lapacho_deck_posts,48.0000,count,1616.00,11796800
palm_thatch_roof,73.4400,m2,1615.68,11794464
corten_cladding,32.0000,m2,1536.00,11212800
lapacho_beams_porch,1.1500,m3,1455.00,10621500
lapacho_catwalk_assembly,1.0000,count,1450.00,10585000
yoga_shelter_frame,1.0000,count,1450.00,10585000
bamboo_curtain_wall_culms,30.0000,count,1440.00,10512000
stone_foundation_arched,4.5000,m3,1395.00,10183500
curtain_textile,45.8000,m2,1282.40,9361520
borax_boric_treatment,138.5000,kg,1214.50,8865850
bamboo_pendant_lanterns,9.0000,count,1170.00,8541000
loggia_paving,21.0000,m2,1155.00,8431500
reflection_pool_water_treatment,4.8000,m3,1152.00,8409600
solar_pv_panels,6.0000,count,1080.00,7884000
ceramic_kitchen_tile,28.8000,m2,1036.80,7568640
concrete_slab_plinth,5.7500,m3,1035.00,7555500
glass_bowl_lanterns,9.0000,count,990.00,7227000
container_opening_cuts,4.0000,count,960.00,7008000
lapacho_window_frames,2.0000,count,960.00,7008000
steel_ibeam_piers,10.0000,m,950.00,6935000
lapacho_deck_planks,0.5000,m3,900.00,6570000
fasteners_misc,830.0000,count,892.00,6511600
lapacho_beams_columns,0.6000,m3,870.00,6351000
lapacho_deck_joists,36.0000,m,864.00,6307200
lapacho_door,2.0000,count,860.00,6278000
container_handling_set,1.0000,count,850.00,6205000
pv_glass_glazing,3.2400,m2,777.60,5676480
stool_set_bamboo_lapacho,8.0000,count,760.00,5548000
lapacho_railing_stair,0.4000,m3,720.00,5256000
pv_glass_clerestory,2.7600,m2,717.60,5238480
pool_excavation_combined,31.6000,m3,695.20,5074960
lapacho_bench_lounge,1.0000,count,680.00,4964000
lapacho_deck_boards,7.0000,m2,665.00,4854500
sandstone_stepping_stones,10.0000,count,650.00,4745000
mossy_boulders_lounge,2.0000,count,640.00,4672000
lapacho_entry_door,1.0000,count,620.00,4526000
pergola_lapacho_bamboo_frame,22.4000,m,582.40,4251520
lapacho_canopy_posts,4.0000,count,580.00,4234000
fasteners,680.0000,count,578.00,4219400
insulated_glazing_units,1.7100,m2,547.20,3994560
boulder_seat_stones,3.0000,count,540.00,3942000
clay_block,480.0000,count,528.00,3854400
lapacho_round_door,1.0000,count,520.00,3796000
outdoor_shower_assembly,1.0000,count,480.00,3504000
lapacho_floor_mat,18.1000,m2,470.60,3435380
pv_glass,1.9600,m2,470.40,3433920
guadua_roof_frame,58.0832,m,464.67,3392058
mosquito_mesh,35.0000,m2,450.00,3285000
low_voltage_lantern_wiring_set,1.0000,count,420.00,3066000
lashings_hardware,22.0000,kg,396.00,2890800
guadua_ring_beam_culms,33.6000,m,369.60,2698080
bamboo_shingle,20.0000,m2,360.00,2628000
palm_thatch_yoga_roof,16.1572,m2,355.46,2594853
sisal_rope_lashings,90.0000,m,315.00,2299500
surround_flora_clumps_saplings,4.0000,count,300.00,2190000
fasteners_hardware,374.0000,count,299.20,2184160
pergola_palm_thatch_roof,10.3500,m2,289.80,2115540
sandstone_cascade_weir,0.6400,m3,243.20,1775360
rope_hemp,69.0000,m,241.50,1762950
rebar_anchors,120.0000,count,240.00,1752000
bamboo_accent,24.0000,m,216.00,1576800
lapacho_stair_treads,5.0000,count,190.00,1387000
sandstone_footing,0.8000,m3,176.00,1284800
mosquito_mesh_screen,4.1000,m2,155.80,1137340
suspended_walkway_cable,14.0000,m,126.00,919800
guadua_columns,12.8000,m,115.20,840960
sandstone,14.0000,count,112.00,817600
lantern_glow_panels,8.0000,count,40.00,292000
stainless_mosquito_mesh,1.4000,m2,30.80,224840
steel_arm,1.0000,count,28.00,204400
sandstone_plinth,0.1000,m3,22.00,160600
sandstone_drain,0.1500,m3,15.00,109500

GRAND_TOTAL,,,288056.75,2102814275
