binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn,lqv_priority_score
Ocotea insignis,Lauraceae,Ocotea insignis Mez,tree,confirmed,58,NA,90.0,near_endemic,Endemic,27,3,,,,,,,,,,,3
Ocotea itatiaiae,Lauraceae,Ocotea itatiaiae Vattimo-Gil,tree,confirmed,10,NA,100.0,pure_endemic,Endemic,10,0,,,,,,,,,,,3
Ocotea koscinskii,Lauraceae,Ocotea koscinskii Baitello & Brotto,tree,confirmed,18,NA,100.0,pure_endemic,Endemic,17,0,,,,,,,,,,,3
Ocotea kostermanniana,Lauraceae,Ocotea kostermanniana Vattimo-Gil,tree,confirmed,23,NA,100.0,pure_endemic,Endemic,23,0,,,,,,,,,,,3
Ocotea lanata,Lauraceae,Ocotea lanata (Nees & Mart.) Mez,tree,confirmed,92,NA,100.0,pure_endemic,Endemic,85,0,,,,,,,,,,,3
Ocotea laxa,Lauraceae,Ocotea laxa (Nees) Mez,tree,confirmed,145,NA,96.2,near_endemic,Endemic,124,4,,,,,,,,,,,3
Ocotea leucophloea,Lauraceae,Ocotea leucophloea (Nees et Mart.) L.C.S. Assis e Mello-Silva,tree,confirmed,6,NA,100.0,pure_endemic,Endemic,5,0,,,,,,,,,,,3
Ocotea lobbii,Lauraceae,Ocotea lobbii (Meisn.) Rohwer,tree,confirmed,74,NA,100.0,pure_endemic,Endemic,63,2,,,,,,,,,,,3
Ocotea mandioccana,Lauraceae,Ocotea mandioccana A.Quinet,tree,confirmed,30,NA,100.0,pure_endemic,Endemic,30,0,,,,,,,,,,,3
Ocotea marcescens,Lauraceae,Ocotea marcescens L.C.S.Assis & Mello-Silva,tree,confirmed,13,NA,100.0,pure_endemic,Endemic,12,0,,,,,,,,,,,3
Ocotea marumbiensis,Lauraceae,Ocotea marumbiensis Brotto & Baitello,tree,confirmed,28,NA,100.0,pure_endemic,Endemic,28,0,,,,,,,,,,,3
Ocotea maximilianea,Lauraceae,Ocotea maximilianea (Nees & Mart.) P.L.R.Moraes,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,,3
Ocotea microbotrys,Lauraceae,Ocotea microbotrys (Meisn.) Mez,tree,confirmed,13,NA,100.0,pure_endemic,Endemic,7,0,,,,,,,,,,,3
Ocotea microneura,Lauraceae,Ocotea microneura (Meisn.) Rohwer,tree,confirmed,10,NA,90.91,near_endemic,Endemic,2,0,,,,,,,,,,,3
Ocotea montana,Lauraceae,Ocotea montana (Meisn.) Mez,tree,confirmed,35,NA,100.0,pure_endemic,Endemic,22,0,,,,,,,,,,,3
Ocotea mosenii,Lauraceae,Ocotea mosenii Mez,tree,confirmed,22,NA,95.0,near_endemic,Endemic,19,1,,,,,,,,,,,3
Ocotea nectandrifolia,Lauraceae,Ocotea nectandrifolia Mez,tree,confirmed,93,NA,100.0,pure_endemic,Endemic,87,0,,,,,,,,,,,3
Ocotea neesiana,Lauraceae,Ocotea neesiana (Miq.) Kosterm.,tree,new to AF,127,NA,1.68,occasional,Not in the AF,1,95,,,,timber,yes,,,,,,3
Ocotea nunesiana,Lauraceae,Ocotea nunesiana (Vattimo-Gil) J.B. Baitello,tree,confirmed,70,NA,100.0,pure_endemic,Endemic,68,0,,,,,,,,,,,3
Ocotea nutans,Lauraceae,Ocotea nutans (Nees) Mez,tree,confirmed,301,NA,92.08,near_endemic,Not endemic,209,11,,,,,,,,,,,3
Ocotea odorifera,Lauraceae,Ocotea odorifera (Vell.) Rohwer,tree,confirmed,490,NA,94.34,near_endemic,Not endemic,406,19,,,,,,,,,,,3
Ocotea paranaensis,Lauraceae,"Ocotea paranaensis Brotto, Baitello, Cervi & E.P.Santos",tree,confirmed,18,NA,100.0,pure_endemic,Endemic,18,0,,,,,,,,,,,3
Ocotea paranapiacabensis,Lauraceae,Ocotea paranapiacabensis Coe-Teixeira,tree,confirmed,57,NA,100.0,pure_endemic,Endemic,55,0,,,,,,,,,,,3
Ocotea pluridomatiata,Lauraceae,Ocotea pluridomatiata A.Quinet,tree,confirmed,24,NA,100.0,pure_endemic,Endemic,24,0,,,,,,,,,,,3
Ocotea polyantha,Lauraceae,Ocotea polyantha (Nees & Mart.) Mez,tree,confirmed,47,NA,95.08,near_endemic,Endemic,29,1,,,,,,,,,,,3
Ocotea pulchra,Lauraceae,Ocotea pulchra Vattimo-Gil,tree,confirmed,97,NA,98.89,near_endemic,Endemic,90,1,,,,,,,,,,,3
Ocotea ramosissima,Lauraceae,Ocotea ramosissima L.C.S. Assis e Mello-Silva,tree,confirmed,5,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,,3
Ocotea rariflora,Lauraceae,Ocotea rariflora (Meisn.) Baitello,tree,new to AF,2,NA,100.0,pure_endemic,NA,2,0,,,,,,,,,,,3
Ocotea revolutifolia,Lauraceae,Ocotea revolutifolia A.Quinet,tree,confirmed,12,NA,100.0,pure_endemic,Endemic,12,0,,,,,,,,,,,3
Ocotea sassafras,Lauraceae,Ocotea sassafras (Meisn.) Mez,tree,confirmed,29,NA,100.0,pure_endemic,Endemic,17,0,,,,,,,,,,,3
Ocotea schwackeana,Lauraceae,Ocotea schwackeana Mez,tree,confirmed,20,NA,100.0,pure_endemic,Endemic,5,0,,,,,,,,,,,3
Ocotea serrana,Lauraceae,Ocotea serrana Coe-Teix.,tree,confirmed,50,NA,100.0,pure_endemic,Endemic,47,0,,,,,,,,,,,3
Ocotea silvestris,Lauraceae,Ocotea silvestris Vattimo-Gil,tree,confirmed,268,NA,96.66,near_endemic,Endemic,235,5,,,,,,,,,,,3
Ocotea sinaiana,Lauraceae,Ocotea sinaiana Vattimo-Gil,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Ocotea sulcata,Lauraceae,Ocotea sulcata Vattimo-Gil,tree,confirmed,5,NA,100.0,pure_endemic,Endemic,5,0,,,,,,,,,,,3
Ocotea teleiandra,Lauraceae,Ocotea teleiandra (Meisn.) Mez,tree,confirmed,404,NA,99.46,near_endemic,Endemic,392,2,,,,,,,,,,,3
Ocotea tenuiflora,Lauraceae,Ocotea tenuiflora (Nees) Mez,tree,confirmed,29,NA,100.0,pure_endemic,Endemic,19,0,,,,,,,,,,,3
Ocotea thinicola,Lauraceae,Ocotea thinicola van der Werff et P.L.R. Moraes,tree,confirmed,12,NA,100.0,pure_endemic,Endemic,12,0,,,,,,,,,,,3
Ocotea urbaniana,Lauraceae,Ocotea urbaniana Mez,tree,confirmed,36,NA,100.0,pure_endemic,Endemic,19,0,,,,,,,,,,,3
Ocotea venulosa,Lauraceae,Ocotea venulosa (Nees) Baitello,tree,confirmed,37,NA,100.0,pure_endemic,Endemic,37,0,,,,,,,,,,,3
Ocotea villosa,Lauraceae,Ocotea villosa Kosterm.,tree,confirmed,50,NA,100.0,pure_endemic,Endemic,41,0,,,,,,,,,,,3
Ormosia altimontana,Fabaceae,Ormosia altimontana Meireles & H.C.Lima,tree,confirmed,22,NA,100.0,pure_endemic,Endemic,22,0,,,,,,,,,,,3
Ormosia coccinea,Fabaceae,Ormosia coccinea Jacks.,tree,new to AF,148,NA,1.22,occasional,Not in the AF,1,104,,,,timber,yes,,,,,,3
Ormosia friburgensis,Fabaceae,Ormosia friburgensis Taub. ex Glaz.,tree,confirmed,39,NA,100.0,pure_endemic,Endemic,31,0,,,,,,,,,,,3
Ormosia lewisii,Fabaceae,"Ormosia lewisii D.B.O.S.Cardoso, C.H.Stirt. & Torke",tree,confirmed,14,NA,100.0,pure_endemic,Endemic,11,0,,,,,,,,,,,3
Ormosia limae,Fabaceae,Ormosia limae D.B.O.S.Cardoso & L.P.Queiroz,tree,confirmed,10,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,,3
Ormosia minor,Fabaceae,Ormosia minor Vogel,tree,confirmed,27,NA,94.12,near_endemic,Endemic,16,1,,,,,,,,,,,3
Ormosia nitida,Fabaceae,Ormosia nitida Vogel,tree,confirmed,18,NA,100.0,pure_endemic,Endemic,16,0,,,,,,,,,,,3
Ormosia timboensis,Fabaceae,"Ormosia timboensis D.B.O.S.Cardoso, Meireles & H.C.Lima",tree,confirmed,7,NA,100.0,pure_endemic,Endemic,7,0,,,,,,,,,,,3
Ormosia vicosana,Fabaceae,Ormosia vicosana Rudd,tree,confirmed,19,NA,100.0,pure_endemic,Endemic,18,0,,,,,,,,,,,3
Oxandra martiana,Annonaceae,Oxandra martiana (Schltdl.) R.E.Fr.,tree,confirmed,17,NA,100.0,pure_endemic,Endemic,11,0,,,,,,,,,,,3
Oxandra unibracteata,Annonaceae,"Oxandra unibracteata J.C.Lopes, Junikka & Mello-Silva",tree,confirmed,4,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,,3
Pagamea harleyi,Rubiaceae,Pagamea harleyi Steyerm.,shrub,confirmed,72,NA,100.0,pure_endemic,Endemic,60,0,,,,,,,,,,,3
Palicourea blanchetiana,Rubiaceae,Palicourea blanchetiana Schltdl.,tree,confirmed,191,NA,94.94,near_endemic,Not endemic,149,6,,,,,,,,,,,3
Palicourea fissistipula,Rubiaceae,Palicourea fissistipula (Mull.Arg.) C.M.Taylor,tree,confirmed,10,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,,3
Palicourea forsteronioides,Rubiaceae,Palicourea forsteronioides (Mull.Arg.) C.M.Taylor,tree,confirmed,136,NA,98.46,near_endemic,Endemic,116,0,,,,,,,,,,,3
Palicourea jungiana,Rubiaceae,Palicourea jungiana C.M. Taylor,tree,new to AF,46,NA,100.0,pure_endemic,NA,29,0,,,,,,,,,,,3
Palicourea malaneoides,Rubiaceae,Palicourea malaneoides (Mull.Arg.) C.M.Taylor,tree,confirmed,120,NA,98.41,near_endemic,Endemic,73,1,,,,,,,,,,,3
Palicourea mamillaris,Rubiaceae,Palicourea mamillaris (Mull.Arg.) C.M.Taylor,tree,confirmed,204,NA,93.55,near_endemic,Endemic,163,5,,,,,,,,,,,3
Palicourea minutiflora,Rubiaceae,Palicourea minutiflora (Mull.Arg.) C.M.Taylor,tree,confirmed,55,NA,98.51,near_endemic,Endemic,30,0,,,,,,,,,,,3
Palicourea octocuspis,Rubiaceae,Palicourea octocuspis (Mull.Arg.) C.M.Taylor,tree,confirmed,100,NA,100.0,pure_endemic,Endemic,67,0,,,,,,,,,,,3
Palicourea tetraphylla,Rubiaceae,Palicourea tetraphylla Cham. & Schltdl.,shrub,confirmed,121,NA,92.75,near_endemic,Not endemic,64,2,,,,,,,,,,,3
Parapiptadenia ilheusana,Fabaceae,Parapiptadenia ilheusana G.P.Lewis,tree,confirmed,1,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,,3
Parapiptadenia pterosperma,Fabaceae,Parapiptadenia pterosperma (Benth.) Brenan,tree,confirmed,146,NA,100.0,pure_endemic,Endemic,140,0,,,,,,,,,,,3
Parasenegalia santosii,Fabaceae,Parasenegalia santosii (G.P. Lewis) Seigler & Ebinger,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Parkia bahiae,Fabaceae,Parkia bahiae H.C.Hopkins,tree,confirmed,17,NA,100.0,pure_endemic,Endemic,15,0,,,,,,,,,,,3
Parkia gigantocarpa,Fabaceae,Parkia gigantocarpa Ducke,tree,new to AF,42,NA,3.23,occasional,Not in the AF,1,37,,,,timber,yes,,,,,,3
Parkia pendula,Fabaceae,Parkia pendula (Willd.) Benth. ex Walp.,tree,confirmed,215,NA,18.06,widespread,Not endemic,36,150,,,,ornamental | timber,yes,,,,,,3
Peltogyne angustiflora,Fabaceae,Peltogyne angustiflora Ducke,tree,confirmed,32,NA,100.0,pure_endemic,Endemic,30,0,,,,,,,,,,,3
Peltogyne chrysopis,Fabaceae,Peltogyne chrysopis Barneby,tree,confirmed,10,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,,3
Peltogyne discolor,Fabaceae,Peltogyne discolor Vogel,tree,confirmed,33,NA,100.0,pure_endemic,Not endemic,29,0,,,,,,,,,,,3
Peltogyne mattosiana,Fabaceae,Peltogyne mattosiana Rizzini,tree,confirmed,7,NA,100.0,pure_endemic,Endemic,7,0,,,,,,,,,,,3
Peltogyne recifensis,Fabaceae,Peltogyne recifensis Ducke,tree,confirmed,15,NA,100.0,pure_endemic,Endemic,12,0,,,,,,,,,,,3
Pereskia aculeata,Cactaceae,Pereskia aculeata Mill.,tree,confirmed,312,NA,91.52,near_endemic,Not endemic,234,20,,,,food,,,,,,,3
Persea alba,Lauraceae,Persea alba Nees & Mart.,tree,confirmed,74,NA,90.0,near_endemic,Not endemic,52,4,,,,,,,,,,,3
Persea caesia,Lauraceae,Persea caesia Meisn.,tree,confirmed,30,NA,100.0,pure_endemic,Endemic,30,0,,,,,,,,,,,3
Persea major,Lauraceae,Persea major (Meisn.) L.E.Kopp,tree,confirmed,86,NA,95.28,near_endemic,Not endemic,71,3,,,,,,,,,,,3
Persea microphylla,Lauraceae,Persea microphylla Mez,tree,confirmed,11,NA,100.0,pure_endemic,Endemic,6,0,,,,,,,,,,,3
Persea obovata,Lauraceae,Persea obovata Nees & Mart.,tree,confirmed,16,NA,100.0,pure_endemic,Endemic,11,0,,,,,,,,,,,3
Persea rigida,Lauraceae,Persea rigida Nees & Mart.,tree,confirmed,18,NA,100.0,pure_endemic,Endemic,9,0,,,,,,,,,,,3
Piptadenia gonoacantha,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,tree,confirmed,1185,NA,73.77,widespread,Not endemic,672,215,,,,timber,yes,,,,,,3
Piptadenia loefgreniana,Fabaceae,Piptadenia loefgreniana Hoehne,tree,confirmed,4,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Piptadenia micracantha,Fabaceae,Piptadenia micracantha Benth.,shrub,confirmed,52,NA,97.87,near_endemic,Endemic,46,1,,,,,,,,,,,3
Piptadenia trisperma,Fabaceae,Piptadenia trisperma (Vell.) Benth.,shrub,confirmed,50,NA,100.0,pure_endemic,Endemic,45,0,,,,,,,,,,,3
Plathymenia reticulata,Fabaceae,Plathymenia reticulata Benth.,tree,confirmed,629,NA,22.64,widespread,Not endemic,92,356,,,,timber,yes,,,,,,3
Platymiscium speciosum,Fabaceae,Platymiscium speciosum Vogel,tree,confirmed,18,NA,100.0,pure_endemic,Endemic,11,0,,,,,,,,,,,3
Plinia ambivalens,Myrtaceae,Plinia ambivalens M.Souza & Sobral,tree,confirmed,6,NA,100.0,pure_endemic,Endemic,6,0,,,,,,,,,,,3
Plinia anonyma,Myrtaceae,Plinia anonyma Sobral,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,,3
Plinia callosa,Myrtaceae,Plinia callosa Sobral,tree,confirmed,30,NA,100.0,pure_endemic,Endemic,30,0,,,,,,,,,,,3
Plinia complanata,Myrtaceae,Plinia complanata M.L.Kawas. & B.Holst,tree,confirmed,39,NA,100.0,pure_endemic,Endemic,39,0,,,,,,,,,,,3
Plinia cordifolia,Myrtaceae,Plinia cordifolia (D.Legrand) Sobral,tree,confirmed,30,NA,98.04,near_endemic,Endemic,28,0,,,,,,,,,,,3
Plinia delicata,Myrtaceae,Plinia delicata Antunes et al.,shrub,confirmed,6,NA,100.0,pure_endemic,Endemic,6,0,,,,,,,,,,,3
Plinia edulis,Myrtaceae,Plinia edulis (Vell.) Sobral,tree,confirmed,36,NA,98.51,near_endemic,Endemic,34,0,,,,,,,,,,,3
Plinia grandifolia,Myrtaceae,Plinia grandifolia (Mattos) Sobral,tree,confirmed,23,NA,94.74,near_endemic,Endemic,22,1,,,,,,,,,,,3
Plinia hatschbachii,Myrtaceae,Plinia hatschbachii (Mattos) Sobral,tree,confirmed,10,NA,100.0,pure_endemic,Endemic,7,0,,,,,,,,,,,3
Plinia ilhensis,Myrtaceae,Plinia ilhensis G.M.Barroso,tree,confirmed,22,NA,100.0,pure_endemic,Endemic,20,0,,,,,,,,,,,3
Plinia longiacuminata,Myrtaceae,Plinia longiacuminata Sobral,tree,confirmed,13,NA,100.0,pure_endemic,Endemic,13,0,,,,,,,,,,,3
Plinia marqueteana,Myrtaceae,Plinia marqueteana G.M.Barroso,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Plinia martinellii,Myrtaceae,Plinia martinellii G.M.Barroso & M.Peron,tree,confirmed,12,NA,100.0,pure_endemic,Endemic,12,0,,,,,,,,,,,3
Plinia muricata,Myrtaceae,Plinia muricata Sobral,tree,confirmed,9,NA,100.0,pure_endemic,Endemic,9,0,,,,,,,,,,,3
Plinia oblongata,Myrtaceae,Plinia oblongata (Mattos) Mattos,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,1,1,,,,,,,,,,,3
Plinia phitrantha,Myrtaceae,Plinia phitrantha (Kiaersk.) Sobral,tree,confirmed,19,NA,100.0,pure_endemic,Endemic,13,1,,,,,,,,,,,3
Plinia rara,Myrtaceae,Plinia rara Sobral,tree,confirmed,9,NA,100.0,pure_endemic,Endemic,6,0,,,,,,,,,,,3
Plinia renatiana,Myrtaceae,Plinia renatiana G.M.Barroso & Peixoto,tree,confirmed,12,NA,100.0,pure_endemic,Endemic,12,0,,,,,,,,,,,3
Plinia rogersiana,Myrtaceae,Plinia rogersiana Mattos,tree,confirmed,1,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,,3
Plinia sebastianopolitana,Myrtaceae,Plinia sebastianopolitana G.M.Barroso,shrub,confirmed,5,NA,100.0,pure_endemic,Endemic,5,0,,,,,,,,,,,3
Plinia spiciflora,Myrtaceae,Plinia spiciflora (Nees & Mart.) Sobral,tree,confirmed,18,NA,100.0,pure_endemic,Endemic,15,0,,,,,,,,,,,3
Plinia spiritosantensis,Myrtaceae,Plinia spiritosantensis (Mattos) Mattos,tree,confirmed,8,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,,3
Plinia subavenia,Myrtaceae,Plinia subavenia Sobral,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Poecilanthe fluminensis,Fabaceae,Poecilanthe fluminensis Meireles & H.C.Lima,tree,confirmed,7,NA,100.0,pure_endemic,Endemic,6,0,,,,,,,,,,,3
Poecilanthe itapuana,Fabaceae,Poecilanthe itapuana G.P.Lewis,tree,confirmed,22,NA,100.0,pure_endemic,Endemic,21,0,,,,,,,,,,,3
Posoqueria acutifolia,Rubiaceae,Posoqueria acutifolia Mart.,tree,confirmed,82,NA,99.24,near_endemic,Not endemic,70,0,,,,,,,,,,,3
Posoqueria bahiensis,Rubiaceae,Posoqueria bahiensis Macias & Kin.-Gouv.,tree,confirmed,10,NA,100.0,pure_endemic,Endemic,10,0,,,,,,,,,,,3
Posoqueria palustris,Rubiaceae,Posoqueria palustris Mart.,tree,confirmed,15,NA,100.0,pure_endemic,Endemic,13,0,,,,,,,,,,,3
Pouteria atlantica,Sapotaceae,Pouteria atlantica Alves-Araujo & M.Alves,tree,confirmed,3,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,,3
Pouteria bapeba,Sapotaceae,Pouteria bapeba T.D.Penn.,tree,confirmed,8,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,,3
Pouteria beaurepairei,Sapotaceae,Pouteria beaurepairei (Glaz. & Raunk.) Baehni,tree,confirmed,69,NA,100.0,pure_endemic,Not endemic,66,0,,,,,,,,,,,3
Pouteria bullata,Sapotaceae,Pouteria bullata (S.Moore) Baehni,tree,confirmed,30,NA,100.0,pure_endemic,Endemic,25,0,,,,,,,,,,,3
Pouteria butyrocarpa,Sapotaceae,Pouteria butyrocarpa (Kuhlm.) T.D.Penn.,tree,confirmed,29,NA,97.83,near_endemic,Endemic,27,0,,,,,,,,,,,3
Pouteria caimito,Sapotaceae,Pouteria caimito (Ruiz & Pav.) Radlk.,tree,confirmed,463,NA,28.6,widespread,Not endemic,98,258,,,,timber,yes,,,,,,3
Pouteria coelomatica,Sapotaceae,Pouteria coelomatica Rizzini,tree,confirmed,25,NA,100.0,pure_endemic,Endemic,25,0,,,,,,,,,,,3
Pouteria confusa,Sapotaceae,Pouteria confusa Alves-Araujo & M.Alves,tree,confirmed,3,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Pouteria egregia,Sapotaceae,Pouteria egregia Sandwith,tree,confirmed,36,NA,11.54,widespread,Not endemic,3,23,,,,timber,yes,,,,,,3
Pouteria grandiflora,Sapotaceae,Pouteria grandiflora (A.DC.) Baehni,tree,confirmed,195,NA,95.6,near_endemic,Endemic,161,1,,,,,,,,,,,3
Pouteria guianensis,Sapotaceae,Pouteria guianensis Aubl.,tree,confirmed,375,NA,9.47,occasional,Not endemic,35,280,,,,timber,yes,,,,,,3
Pouteria macahensis,Sapotaceae,Pouteria macahensis T.D.Penn.,tree,confirmed,66,NA,98.28,near_endemic,Endemic,63,1,,,,,,,,,,,3
Pouteria microstrigosa,Sapotaceae,Pouteria microstrigosa T.D.Penn.,tree,confirmed,22,NA,100.0,pure_endemic,Endemic,22,0,,,,,,,,,,,3
Pouteria oblanceolata,Sapotaceae,Pouteria oblanceolata Pires,tree,confirmed,47,NA,10.81,widespread,Not endemic,4,36,,,,timber,yes,,,,,,3
Pouteria oxypetala,Sapotaceae,Pouteria oxypetala T.D.Penn.,tree,confirmed,9,NA,100.0,pure_endemic,Endemic,7,0,,,,,,,,,,,3
Pouteria pachycalyx,Sapotaceae,Pouteria pachycalyx T.D.Penn.,tree,confirmed,16,NA,100.0,pure_endemic,Endemic,16,0,,,,,,,,,,,3
Pouteria samborae,Sapotaceae,Pouteria samborae Alves-Araujo & Monico,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Pouteria stenophylla,Sapotaceae,Pouteria stenophylla Baehni,tree,confirmed,10,NA,100.0,pure_endemic,Endemic,6,0,,,,,,,,,,,3
Pouteria synsepala,Sapotaceae,Pouteria synsepala Popovkin & Faria,tree,confirmed,1,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,,3
Pouteria trifida,Sapotaceae,Pouteria trifida Alves-Araujo & M.Alves,tree,confirmed,1,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,,3
Pouteria velutinicarpa,Sapotaceae,Pouteria velutinicarpa Alves-Araujo & M.Alves,tree,confirmed,1,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,,3
Pradosia glaziovii,Sapotaceae,Pradosia glaziovii (Pierre) T.D.Penn.,tree,confirmed,13,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,,3
Pradosia kuhlmannii,Sapotaceae,Pradosia kuhlmannii Toledo,tree,confirmed,18,NA,100.0,pure_endemic,Endemic,16,0,,,,,,,,,,,3
Pradosia lactescens,Sapotaceae,Pradosia lactescens (Vell.) Radlk.,tree,confirmed,134,NA,94.66,near_endemic,Endemic,111,0,,,,,,,,,,,3
Pradosia longipedicellata,Sapotaceae,Pradosia longipedicellata Alves-Araujo & M.Alves,tree,confirmed,14,NA,100.0,pure_endemic,Endemic,14,0,,,,,,,,,,,3
Pradosia restingae,Sapotaceae,Pradosia restingae Terra-Araujo,tree,confirmed,8,NA,100.0,pure_endemic,Endemic,7,0,,,,,,,,,,,3
Pseudolmedia hirtula,Moraceae,Pseudolmedia hirtula Kuhlm.,tree,confirmed,18,NA,100.0,pure_endemic,Endemic,14,0,,,,,,,,,,,3
Pseudopiptadenia bahiana,Fabaceae,Pseudopiptadenia bahiana G.P.Lewis & M.P.Lima,tree,confirmed,47,NA,93.75,near_endemic,Not endemic,27,1,,,,,,,,,,,3
Pseudopiptadenia contorta,Fabaceae,Pseudopiptadenia contorta (DC.) G.P.Lewis & M.P.Lima,tree,confirmed,372,NA,91.36,near_endemic,Not endemic,272,16,,,,,,,,,,,3
Pseudopiptadenia inaequalis,Fabaceae,Pseudopiptadenia inaequalis (Benth.) Rauschert,tree,confirmed,46,NA,100.0,pure_endemic,Endemic,44,0,,,,,,,,,,,3
Pseudopiptadenia leptostachya,Fabaceae,Pseudopiptadenia leptostachya (Benth.) Rauschert,tree,confirmed,106,NA,96.13,near_endemic,Endemic,90,3,,,,,,,,,,,3
Pseudopiptadenia schumanniana,Fabaceae,Pseudopiptadenia schumanniana (Taub.) G.P.Lewis & M.P.Lima,tree,confirmed,38,NA,100.0,pure_endemic,Endemic,32,0,,,,,,,,,,,3
Pseudopiptadenia warmingii,Fabaceae,Pseudopiptadenia warmingii (Benth.) G.P.Lewis & M.P.Lima,tree,confirmed,87,NA,99.01,near_endemic,Endemic,61,0,,,,,,,,,,,3
Pseudoxandra bahiensis,Annonaceae,Pseudoxandra bahiensis Maas,tree,confirmed,61,NA,100.0,pure_endemic,Endemic,59,0,,,,,,,,,,,3
Pseudoxandra spiritus-sancti,Annonaceae,Pseudoxandra spiritus-sancti Maas,tree,confirmed,65,NA,100.0,pure_endemic,Endemic,64,0,,,,,,,,,,,3
Psidium amplexicaule,Myrtaceae,Psidium amplexicaule Pers.,tree,confirmed,4,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,,3
Psidium bahianum,Myrtaceae,Psidium bahianum Landrum & Funch,tree,confirmed,32,NA,100.0,pure_endemic,Endemic,27,1,,,,,,,,,,,3
Psidium cauliflorum,Myrtaceae,Psidium cauliflorum Landrum & Sobral,tree,confirmed,17,NA,100.0,pure_endemic,Endemic,14,0,,,,,,,,,,,3
Psidium giganteum,Myrtaceae,Psidium giganteum Mattos,tree,confirmed,4,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,,3
Psidium humile,Myrtaceae,Psidium humile Vell.,shrub,confirmed,3,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,,3
Psidium oblongatum,Myrtaceae,Psidium oblongatum O.Berg,tree,confirmed,40,NA,100.0,pure_endemic,Endemic,35,0,,,,,,,,,,,3
Psidium ovale,Myrtaceae,Psidium ovale (Spreng.) Burret,tree,confirmed,74,NA,98.44,near_endemic,Endemic,63,1,,,,,,,,,,,3
Psidium ubatubense,Myrtaceae,Psidium ubatubense Mattos,tree,confirmed,2,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,,3
Psychotria alegre,Rubiaceae,Psychotria alegre Govaerts,shrub,confirmed,16,NA,100.0,pure_endemic,Endemic,12,0,,,,,,,,,,,3
Psychotria alto-macahensis,Rubiaceae,Psychotria alto-macahensis M. Gomes,tree,confirmed,49,NA,100.0,pure_endemic,Endemic,48,0,,,,,,,,,,,3
Psychotria appendiculata,Rubiaceae,Psychotria appendiculata Mull.Arg.,shrub,confirmed,52,NA,90.91,near_endemic,Not endemic,29,3,,,,,,,,,,,3
Psychotria ararum,Rubiaceae,Psychotria ararum C.M.Taylor,shrub,confirmed,4,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,,3
Psychotria beyrichiana,Rubiaceae,Psychotria beyrichiana Mull.Arg.,shrub,confirmed,9,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,,3
Psychotria brachyceras,Rubiaceae,Psychotria brachyceras Mull.Arg.,shrub,confirmed,73,NA,95.65,near_endemic,Endemic,51,3,,,,,,,,,,,3
Psychotria brachypoda,Rubiaceae,Psychotria brachypoda (Mull.Arg.) Britton,shrub,confirmed,198,NA,88.89,near_endemic,Endemic,155,15,,,,,,,,,,,3
Psychotria caudata,Rubiaceae,Psychotria caudata M.Gomes,shrub,confirmed,8,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,,3
