binomial,family,life_form,lqv_vernacular,lqv_25km_occurrences,seen_within_5km,n_obs_5km,months_seen,py_threat_category,ar_threat_category,endemism_group,uses,is_timber,lqv_priority_score
Melanopsidium nigrum,Rubiaceae,tree,,,,0,,,,widespread,food | medicinal,,2
Mimosa pigra,Fabaceae,shrub,,,,0,,,,widespread,fuel | medicinal,,2
Myrcianthes fragrans,Myrtaceae,tree,,,,0,,,,occasional,medicinal,,2
Pterodon emarginatus,Fabaceae,tree,,,,0,,,,occasional,medicinal,,2
Pterodon pubescens,Fabaceae,tree,,,,0,,,,occasional,medicinal,,2
Schinus molle,Anacardiaceae,tree,,,,0,,,,widespread,alcohol | essential_oils | fences | food | fuel | medicinal | ornamental | poison | resins_gums | rubber_latex | timber,yes,2
Schinus terebinthifolia,Anacardiaceae,tree,,,,0,,,,widespread,essential_oils | fences | fodder | food | fuel | medicinal | ornamental | poison | resins_gums | timber,yes,2
Senna alata,Fabaceae,tree,,,,0,,,,widespread,medicinal | ornamental,,2
Simarouba amara,Simaroubaceae,tree,,,,0,,,,widespread,medicinal | timber,yes,2
Sorocea bonplandii,Moraceae,tree,,,,0,,,,widespread,medicinal,,2
Spondias mombin,Anacardiaceae,tree,,,,0,,,,occasional,fences | fibres | fodder | food | fuel | medicinal | timber,yes,2
Stryphnodendron adstringens,Fabaceae,tree,,,,0,,,,widespread,medicinal,,2
Terminalia argentea,Combretaceae,tree,,,,0,,,,occasional,food | fuel | medicinal | timber,yes,2
Vachellia farnesiana,Fabaceae,tree,,,,0,,,,occasional,essential_oils | fodder | medicinal | resins_gums,,2
Zollernia ilicifolia,Fabaceae,tree,,,,0,,,,widespread,medicinal,,2
Baccharis dracunculifolia,Asteraceae,tree,,,,0,,,,widespread,medicinal,,1
Cestrum parqui,Solanaceae,shrub,,,,0,,,,occasional,medicinal,,1
Chrysobalanus icaco,Chrysobalanaceae,tree,,,,0,,,,widespread,medicinal,,1
Cochlospermum regium,Bixaceae,tree,,,,0,,,,widespread,medicinal,,1
Erythroxylum coca,Erythroxylaceae,shrub,,,,0,,,,occasional,medicinal,,1
Ilex paraguariensis,Aquifoliaceae,tree,,,,0,,,,widespread,food | medicinal,,1
Lafoensia pacari,Lythraceae,tree,,,,0,,,,widespread,medicinal,,1
Manihot glaziovii,Euphorbiaceae,tree,,,,0,,,,widespread,essential_oils | fences | fodder | food | medicinal | ornamental | rubber_latex,,1
Phytolacca dioica,Phytolaccaceae,tree,,,,0,,,,widespread,fodder | medicinal | ornamental | poison,,1
Sambucus australis,Adoxaceae,tree,,,,0,,,,,medicinal,,1
Solanum mauritianum,Solanaceae,tree,,,,0,,,,widespread,medicinal,,1
Solanum paniculatum,Solanaceae,shrub,,,,0,,,,widespread,food | medicinal,,1
Varronia curassavica,Boraginaceae,shrub,,,,0,,,,widespread,medicinal,,1
Ximenia americana,Olacaceae,tree,,,,0,,,,widespread,alcohol | essential_oils | fences | food | fuel | lipids | medicinal | ornamental | poison,,1
